            VLM1 -  -10.0°-60.00m/s                VLM1 -   -9.0°-60.00m/s                VLM1 -   -8.0°-60.00m/s                VLM1 -   -7.0°-60.00m/s                VLM1 -   -6.0°-60.00m/s                VLM1 -   -5.0°-60.00m/s                VLM1 -   -4.0°-60.00m/s                VLM1 -   -3.0°-60.00m/s                VLM1 -   -2.0°-60.00m/s                VLM1 -   -1.0°-60.00m/s                VLM1 -    0.0°-60.00m/s                VLM1 -    1.0°-60.00m/s                VLM1 -    2.0°-60.00m/s                VLM1 -    3.0°-60.00m/s                VLM1 -    4.0°-60.00m/s                VLM1 -    5.0°-60.00m/s                VLM1 -    6.0°-60.00m/s                VLM1 -    7.0°-60.00m/s                VLM1 -    8.0°-60.00m/s                VLM1 -    9.0°-60.00m/s                VLM1 -   10.0°-60.00m/s                VLM1 -   11.0°-60.00m/s                VLM1 -   12.0°-60.00m/s                VLM1 -   13.0°-60.00m/s                VLM1 -   14.0°-60.00m/s                VLM1 -   15.0°-60.00m/s                VLM1 -   16.0°-60.00m/s    
    0.9008254      0.0007962219      0.9008254      0.0001319812      0.9008254      2.505887e-05      0.9008254      0.0004800352      0.9008254       0.001499779      0.9008254        0.00308544      0.9008254        0.00523644      0.9008254        0.00795048      0.9008254        0.01122354      0.9008254        0.01504989      0.9008254        0.01942211      0.9008254         0.0243311      0.9008254         0.0297661      0.9008254        0.03571476      0.9008254        0.04216311      0.9008254        0.04909562      0.9008254         0.0564953      0.9008254        0.06434364      0.9008254        0.07262075      0.9008254        0.08130536      0.9008254        0.09037493      0.9008254        0.09980564      0.9008254         0.1095725      0.9008254         0.1196495      0.9008254         0.1300094      0.9008254         0.1406242      0.9008254          0.151465  
     1.494537      0.0009579378       1.494537      0.0002085113       1.494537      -1.39714e-05       1.494537       0.000295071       1.494537       0.001138601       1.494537       0.002517954       1.494537        0.00443283       1.494537       0.006881299       1.494537       0.009859801       1.494537        0.01336316       1.494537        0.01738458       1.494537        0.02191569       1.494537        0.02694655       1.494537        0.03246567       1.494537        0.03846007       1.494537        0.04491527       1.494537        0.05181537       1.494537        0.05914309       1.494537        0.06687977       1.494537        0.07500548       1.494537        0.08349905       1.494537        0.09233812       1.494537         0.1014992       1.494537         0.1109578       1.494537         0.1206883       1.494537         0.1306643       1.494537         0.1408585  
     2.078039       0.001022576       2.078039      0.0002499982       2.078039     -2.305955e-05       2.078039       0.000207869       2.078039       0.000945716       2.078039       0.002191869       2.078039       0.003946168       2.078039       0.006206901       2.078039       0.008970814       2.078039        0.01223311       2.078039        0.01598748       2.078039        0.02022608       2.078039        0.02493961       2.078039        0.03011727       2.078039        0.03574687       2.078039        0.04181479       2.078039        0.04830604       2.078039        0.05520432       2.078039        0.06249205       2.078039         0.0701504       2.078039         0.0781594       2.078039         0.0864979       2.078039        0.09514372       2.078039         0.1040737       2.078039         0.1132636       2.078039         0.1226884       2.078039         0.1323224  
     2.647346        0.00104254       2.647346      0.0002716566       2.647346     -2.402467e-05       2.647346      0.0001598137       2.647346       0.000826029       2.647346       0.001976009       2.647346       0.003609667       2.647346       0.005725443       2.647346       0.008320305       2.647346        0.01138976       2.647346        0.01492785       2.647346         0.0189272       2.647346          0.023379       2.647346        0.02827305       2.647346        0.03359781       2.647346        0.03934036       2.647346        0.04548651       2.647346        0.05202079       2.647346        0.05892654       2.647346        0.06618589       2.647346        0.07377985       2.647346        0.08168839       2.647346        0.08989041       2.647346        0.09836389       2.647346         0.1070859       2.647346         0.1160326       2.647346         0.1251795  
     3.198569       0.001042543       3.198569      0.0002824548       3.198569     -2.293697e-05       3.198569      0.0001305381       3.198569      0.0007456533       3.198569       0.001823776       3.198569       0.003364863       3.198569       0.005367458       3.198569         0.0078287       3.198569        0.01074432       3.198569        0.01410867       3.198569        0.01791471       3.198569        0.02215407       3.198569          0.026817       3.198569         0.0318925       3.198569        0.03736823       3.198569        0.04323066       3.198569        0.04946502       3.198569        0.05605537       3.198569        0.06298465       3.198569        0.07023473       3.198569        0.07778644       3.198569        0.08561964       3.198569        0.09371326       3.198569         0.1020454       3.198569         0.1105932       3.198569         0.1193334  
     3.727943         0.0010364       3.727943      0.0002879118       3.727943      -2.17062e-05       3.727943      0.0001115955       3.727943      0.0006905171       3.727943       0.001716402       3.727943        0.00318923       3.727943       0.005107622       3.727943       0.007468835       3.727943        0.01026878       3.727943        0.01350201       3.727943        0.01716177       3.727943        0.02123998       3.727943        0.02572728       3.727943        0.03061304       3.727943         0.0358854       3.727943        0.04153129       3.727943        0.04753649       3.727943        0.05388562       3.727943        0.06056225       3.727943        0.06754888       3.727943        0.07482701       3.727943        0.08237724       3.727943        0.09017922       3.727943        0.09821181       3.727943         0.1064531       3.727943         0.1148804  
     4.231851       0.001032488       4.231851      0.0002913755       4.231851     -2.099352e-05       4.231851      9.934902e-05       4.231851       0.000655054       4.231851       0.001647446       4.231851        0.00307652       4.231851       0.004940939       4.231851       0.007238037       4.231851       0.009963826       4.231851        0.01311301       4.231851        0.01667899       4.231851        0.02065389       4.231851        0.02502857       4.231851        0.02979266       4.231851        0.03493459       4.231851         0.0404416       4.231851        0.04629979       4.231851        0.05249418       4.231851        0.05900869       4.231851        0.06582625       4.231851         0.0729288       4.231851        0.08029738       4.231851        0.08791213       4.231851         0.0957524       4.231851         0.1037968       4.231851         0.1120231  
     4.706851       0.001035828       4.706851      0.0002946063       4.706851     -2.111846e-05       4.706851      9.259644e-05       4.706851      0.0006383854       4.706851       0.001617567       4.706851       0.003030139       4.706851       0.004874777       4.706851       0.007148842       4.706851       0.009848378       4.706851        0.01296813       4.706851        0.01650156       4.706851        0.02044084       4.706851        0.02477692       4.706851        0.02949951       4.706851        0.03459711       4.706851        0.04005708       4.706851        0.04586563       4.706851        0.05200787       4.706851        0.05846788       4.706851        0.06522869       4.706851        0.07227241       4.706851         0.0795802       4.706851        0.08713237       4.706851        0.09490842       4.706851         0.1028871       4.706851         0.1110464  
     5.149698       0.001048186       5.149698       0.000297694       5.149698     -2.236981e-05       5.149698      9.197395e-05       5.149698      0.0006433822       5.149698       0.001633181       5.149698       0.003061359       5.149698       0.004926571       5.149698       0.007226137       5.149698       0.009956049       5.149698        0.01311098       5.149698        0.01668432       5.149698        0.02066813       5.149698        0.02505326       5.149698        0.02982928       5.149698        0.03498457       5.149698        0.04050632       5.149698        0.04638058       5.149698        0.05259229       5.149698        0.05912532       5.149698        0.06596253       5.149698        0.07308579       5.149698        0.08047606       5.149698         0.0881134       5.149698        0.09597708       5.149698         0.1040456       5.149698         0.1122967  
     5.557368       0.001066113       5.557368       0.000298198       5.557368     -2.501796e-05       5.557368      0.0001005498       5.557368      0.0006776187       5.557368       0.001707531       5.557368       0.003190249       5.557368       0.005124355       5.557368       0.007507054       5.557368        0.01033418       5.557368        0.01360021       5.557368        0.01729826       5.557368        0.02142015       5.557368        0.02595637       5.557368        0.03089613       5.557368        0.03622741       5.557368        0.04193694       5.557368        0.04801031       5.557368        0.05443192       5.557368         0.0611851       5.557368        0.06825212       5.557368        0.07561424       5.557368        0.08325176       5.557368        0.09114408       5.557368        0.09926977       5.557368         0.1076066       5.557368         0.1161316  
     5.927076        0.00107642       5.927076      0.0002894717       5.927076     -2.871418e-05       5.927076      0.0001261033       5.927076      0.0007567246       5.927076       0.001864501       5.927076       0.003449329       5.927076       0.005509653       5.927076       0.008042463       5.927076        0.01104331       5.927076        0.01450631       5.927076        0.01842415       5.927076        0.02278815       5.927076        0.02758824       5.927076        0.03281298       5.927076        0.03844965       5.927076        0.04448423       5.927076        0.05090145       5.927076        0.05768486       5.927076        0.06481683       5.927076        0.07227862       5.927076        0.08005046       5.927076        0.08811155       5.927076        0.09644013       5.927076         0.1050136       5.927076         0.1138085       5.927076         0.1228005  
     6.256295       0.001049553       6.256295      0.0002593347       6.256295     -2.968693e-05       6.256295      0.0001868878       6.256295      0.0009119189       6.256295       0.002146718       6.256295       0.003891042       6.256295       0.006143096       6.256295       0.008899536       6.256295        0.01215547       6.256295         0.0159045       6.256295        0.02013867       6.256295        0.02484859       6.256295        0.03002336       6.256295        0.03565067       6.256295        0.04171679       6.256295        0.04820664       6.256295        0.05510379       6.256295        0.06239055       6.256295          0.070048       6.256295        0.07805603       6.256295         0.0863934       6.256295         0.0950378       6.256295         0.1039659       6.256295         0.1131535       6.256295         0.1225755       6.256295         0.1322058  
     6.542778      0.0009378986       6.542778      0.0001952487       6.542778     -1.049453e-05       6.542778      0.0003251175       6.542778       0.001204885       6.542778       0.002629949       6.542778       0.004599792       6.542778       0.007112232       6.542778        0.01016343       6.542778        0.01374791       6.542778        0.01785854       6.542778        0.02248661       6.542778        0.02762179       6.542778        0.03325218       6.542778        0.03936439       6.542778         0.0459435       6.542778        0.05297313       6.542778        0.06043553       6.542778        0.06831154       6.542778        0.07658072       6.542778        0.08522137       6.542778        0.09421058       6.542778         0.1035243       6.542778         0.1131375       6.542778         0.1230241       6.542778         0.1331569       6.542778         0.1435082  
     6.784567      0.0007045823       6.784567       0.000115867       6.784567      9.239833e-05       6.784567      0.0006383707       6.784567       0.001756244       6.784567       0.003446737       6.784567       0.005708822       6.784567       0.008539728       6.784567        0.01193495       6.784567        0.01588824       6.784567        0.02039167       6.784567        0.02543561       6.784567        0.03100875       6.784567        0.03709817       6.784567        0.04368934       6.784567        0.05076618       6.784567        0.05831108       6.784567        0.06630498       6.784567        0.07472738       6.784567        0.08355646       6.784567        0.09276905       6.784567         0.1023408       6.784567         0.1122461       6.784567         0.1224583       6.784567         0.1329497       6.784567         0.1436918       6.784567         0.1546549  
      6.98001      0.0004399351        6.98001      0.0001778665        6.98001      0.0004855133        6.98001       0.001366257        6.98001       0.002821735        6.98001       0.004851831        6.98001       0.007454677        6.98001        0.01062666        6.98001        0.01436242        6.98001        0.01865487        6.98001        0.02349524        6.98001        0.02887304        6.98001        0.03477615        6.98001         0.0411908        6.98001        0.04810167        6.98001        0.05549187        6.98001          0.063343        6.98001        0.07163524        6.98001        0.08034735        6.98001        0.08945676        6.98001        0.09893961        6.98001         0.1087709        6.98001         0.1189243        6.98001         0.1293727        6.98001         0.1400876        6.98001         0.1510401        6.98001         0.1621999  
     7.127773       0.000689272       7.127773       0.001011355       7.127773       0.001864083       7.127773       0.003249146       7.127773        0.00516661       7.127773       0.007614919       7.127773        0.01059089       7.127773        0.01408974       7.127773        0.01810507       7.127773         0.0226289       7.127773         0.0276517       7.127773        0.03316238       7.127773        0.03914834       7.127773        0.04559554       7.127773        0.05248847       7.127773        0.05981022       7.127773        0.06754256       7.127773        0.07566593       7.127773        0.08415954       7.127773        0.09300141       7.127773         0.1021684       7.127773         0.1116364       7.127773         0.1213801       7.127773         0.1313735       7.127773         0.1415895       7.127773         0.1520005       7.127773         0.1625779  
     7.226846       0.003333308       7.226846       0.004839535       7.226846       0.006776911       7.226846       0.009143719       7.226846        0.01193693       7.226846         0.0151522       7.226846        0.01878391       7.226846        0.02282514       7.226846        0.02726771       7.226846         0.0321022       7.226846        0.03731799       7.226846        0.04290326       7.226846        0.04884501       7.226846        0.05512916       7.226846        0.06174052       7.226846        0.06866286       7.226846        0.07587897       7.226846        0.08337066       7.226846        0.09111885       7.226846        0.09910362       7.226846         0.1073042       7.226846         0.1156992       7.226846         0.1242665       7.226846         0.1329832       7.226846          0.141826       7.226846         0.1507712       7.226846         0.1597944  
     7.276552       0.007903681       7.276552        0.01218078       7.276552        0.01671184       7.276552        0.02148828       7.276552        0.02650076       7.276552        0.03173919       7.276552        0.03719278       7.276552        0.04285007       7.276552        0.04869892       7.276552        0.05472659       7.276552        0.06091976       7.276552        0.06726455       7.276552        0.07374656       7.276552        0.08035094       7.276552        0.08706237       7.276552        0.09386518       7.276552         0.1007433       7.276552         0.1076804       7.276552         0.1146599       7.276552         0.1216649       7.276552         0.1286784       7.276552         0.1356833       7.276552         0.1426624       7.276552         0.1495983       7.276552          0.156474       7.276552         0.1632722       7.276552         0.1699758  

