            VLM1 -  -10.0°-60.00m/s                VLM1 -   -9.0°-60.00m/s                VLM1 -   -8.0°-60.00m/s                VLM1 -   -7.0°-60.00m/s                VLM1 -   -6.0°-60.00m/s                VLM1 -   -5.0°-60.00m/s                VLM1 -   -4.0°-60.00m/s                VLM1 -   -3.0°-60.00m/s                VLM1 -   -2.0°-60.00m/s                VLM1 -   -1.0°-60.00m/s                VLM1 -    0.0°-60.00m/s                VLM1 -    1.0°-60.00m/s                VLM1 -    2.0°-60.00m/s                VLM1 -    3.0°-60.00m/s                VLM1 -    4.0°-60.00m/s                VLM1 -    5.0°-60.00m/s                VLM1 -    6.0°-60.00m/s                VLM1 -    7.0°-60.00m/s                VLM1 -    8.0°-60.00m/s                VLM1 -    9.0°-60.00m/s                VLM1 -   10.0°-60.00m/s                VLM1 -   11.0°-60.00m/s                VLM1 -   12.0°-60.00m/s                VLM1 -   13.0°-60.00m/s                VLM1 -   14.0°-60.00m/s                VLM1 -   15.0°-60.00m/s    
     1.044928        -0.1847952       1.044928        -0.2084693       1.044928        -0.2322583       1.044928        -0.2561332       1.044928        -0.2800476       1.044928        -0.3039721       1.044928        -0.3278771       1.044928        -0.3517346       1.044928        -0.3755108       1.044928         -0.399183       1.044928        -0.4227283       1.044928        -0.4461168       1.044928        -0.4693206       1.044928         -0.492314       1.044928        -0.5150703       1.044928        -0.5375646       1.044928        -0.5597721       1.044928        -0.5816673       1.044928        -0.6032197       1.044928        -0.6244055       1.044928        -0.6452032       1.044928        -0.6655996       1.044928        -0.6855458       1.044928        -0.7050221       1.044928        -0.7240127       1.044928        -0.7425106  
     1.733614         -0.180062       1.733614        -0.2056655       1.733614        -0.2313993       1.733614        -0.2572364       1.733614        -0.2831223       1.733614        -0.3090252       1.733614        -0.3349132       1.733614        -0.3607556       1.733614        -0.3865148       1.733614        -0.4121685       1.733614        -0.4376911       1.733614        -0.4630502       1.733614         -0.488216       1.733614        -0.5131604       1.733614        -0.5378541       1.733614        -0.5622719       1.733614        -0.5863856       1.733614        -0.6101662       1.733614        -0.6335815       1.733614        -0.6566077       1.733614        -0.6792267       1.733614        -0.7014065       1.733614        -0.7231062       1.733614        -0.7443022       1.733614        -0.7649931       1.733614        -0.7851548  
     2.410457        -0.1751477       2.410457        -0.2027411       2.410457        -0.2304802       2.410457        -0.2583401       2.410457        -0.2862576       2.410457        -0.3141985       2.410457        -0.3421287       2.410457        -0.3700145       2.410457        -0.3978144       2.410457        -0.4255068       2.410457         -0.453063       2.410457        -0.4804482       2.410457        -0.5076309       2.410457        -0.5345802       2.410457        -0.5612638       2.410457        -0.5876569       2.410457        -0.6137275       2.410457        -0.6394429       2.410457        -0.6647701       2.410457        -0.6896827       2.410457        -0.7141694       2.410457        -0.7381764       2.410457        -0.7616722       2.410457        -0.7846383       2.410457        -0.8070684       2.410457        -0.8289353  
     3.070834        -0.1701871       3.070834        -0.1998471       3.070834        -0.2296683       3.070834        -0.2596279       3.070834        -0.2896536       3.070834        -0.3197088       3.070834        -0.3497568       3.070834        -0.3797611       3.070834        -0.4096759       3.070834        -0.4394804       3.070834         -0.469143       3.070834        -0.4986261       3.070834        -0.5278963       3.070834        -0.5569202       3.070834        -0.5856626       3.070834        -0.6140978       3.070834        -0.6421915       3.070834        -0.6699065       3.070834        -0.6972094       3.070834        -0.7240725       3.070834        -0.7504844       3.070834        -0.7763774       3.070834        -0.8017262       3.070834        -0.8265202       3.070834        -0.8507422       3.070834        -0.8743675  
     3.710235        -0.1651763       3.710235        -0.1969881       3.710235        -0.2289757       3.710235        -0.2611213       3.710235        -0.2933408       3.710235        -0.3255946       3.710235        -0.3578436       3.710235        -0.3900484       3.710235         -0.422159       3.710235        -0.4541544       3.710235         -0.486001       3.710235          -0.51766       3.710235         -0.549093       3.710235        -0.5802658       3.710235         -0.611146       3.710235        -0.6416939       3.710235        -0.6718812       3.710235        -0.7016662       3.710235        -0.7310193       3.710235        -0.7599088       3.710235        -0.7882943       3.710235        -0.8161393       3.710235        -0.8434074       3.710235        -0.8700995       3.710235        -0.8961686       3.710235        -0.9219566  
     4.324291        -0.1601431       4.324291        -0.1941794       4.324291        -0.2284087       4.324291        -0.2628172       4.324291        -0.2973061       4.324291        -0.3318333       4.324291        -0.3663569       4.324291        -0.4008346       4.324291        -0.4352105       4.324291        -0.4694672       4.324291        -0.5035677       4.324291        -0.5374696       4.324291        -0.5711337       4.324291         -0.604523       4.324291        -0.6376003       4.324291        -0.6703294       4.324291        -0.7026722       4.324291        -0.7345887       4.324291        -0.7660436       4.324291        -0.7970077       4.324291        -0.8274454       4.324291        -0.8573036       4.324291        -0.8865438       4.324291        -0.9151666       4.324291        -0.9431656       4.324291        -0.9706065  
     4.908808        -0.1548469       4.908808        -0.1912529       4.908808        -0.2280132       4.908808        -0.2647235       4.908808        -0.3015214       4.908808        -0.3383619       4.908808           -0.3752       4.908808         -0.411991       4.908808        -0.4486739       4.908808        -0.4852325       4.908808         -0.521627       4.908808        -0.5578118       4.908808        -0.5937457       4.908808        -0.6293888       4.908808        -0.6647015       4.908808        -0.6996453       4.908808        -0.7341789       4.908808        -0.7682604       4.908808        -0.8018525       4.908808        -0.8349246       4.908808        -0.8674394       4.908808        -0.8993423       4.908808        -0.9305927       4.908808        -0.9611863       4.908808        -0.9911323       4.908808         -1.020533  
     5.459792        -0.1496594       5.459792        -0.1884573       5.459792        -0.2278192       5.459792        -0.2668185       5.459792        -0.3059119       5.459792        -0.3450517       5.459792        -0.3841902       5.459792        -0.4232796       5.459792        -0.4622549       5.459792        -0.5010998       5.459792         -0.539772       5.459792        -0.5782233       5.459792        -0.6164093       5.459792        -0.6542883       5.459792        -0.6918179       5.459792        -0.7289565       5.459792        -0.7656619       5.459792        -0.8018881       5.459792        -0.8375975       5.459792        -0.8727552       5.459792        -0.9073245       5.459792        -0.9412523       5.459792        -0.9744919       5.459792         -1.007033       5.459792         -1.038914       5.459792         -1.070298  
     5.973481        -0.1449397       5.973481        -0.1860354       5.973481        -0.2279059       5.973481        -0.2690891       5.973481        -0.3103719       5.973481        -0.3517037       5.973481        -0.3930343       5.973481        -0.4343132       5.973481        -0.4754716       5.973481        -0.5164924       5.973481        -0.5573316       5.973481        -0.5979384       5.973481        -0.6382654       5.973481        -0.6782686       5.973481        -0.7179036       5.973481        -0.7571253       5.973481        -0.7958917       5.973481        -0.8341519       5.973481        -0.8718677       5.973481            -0.909       5.973481        -0.9455132       5.973481        -0.9813593       5.973481         -1.016479       5.973481         -1.050858       5.973481         -1.084556       5.973481         -1.117719  
     6.446364        -0.1411338       6.446364        -0.1842904       6.446364         -0.228415       6.446364        -0.2715311       6.446364        -0.3147502       6.446364        -0.3580196       6.446364        -0.4012864       6.446364         -0.444498       6.446364         -0.487583       6.446364        -0.5305216       6.446364        -0.5732695       6.446364        -0.6157737       6.446364         -0.657984       6.446364        -0.6998539       6.446364        -0.7413378       6.446364        -0.7823881       6.446364        -0.8229608       6.446364        -0.8630036       6.446364        -0.9024738       6.446364         -0.941332       6.446364        -0.9795383       6.446364         -1.017061       6.446364         -1.053823       6.446364         -1.089804       6.446364         -1.125043       6.446364         -1.159557  
     6.875213        -0.1389055       6.875213        -0.1836753       6.875213        -0.2295594       6.875213         -0.274141       6.875213        -0.3188262       6.875213        -0.3635604       6.875213        -0.4082889       6.875213        -0.4529574       6.875213        -0.4974939       6.875213        -0.5418732       6.875213         -0.586053       6.875213        -0.6299787       6.875213        -0.6735976       6.875213        -0.7168606       6.875213        -0.7597234       6.875213         -0.802134       6.875213        -0.8440466       6.875213        -0.8854112       6.875213        -0.9261756       6.875213        -0.9663103       6.875213         -1.005761       6.875213         -1.044504       6.875213         -1.082475       6.875213         -1.119628       6.875213          -1.15593       6.875213         -1.191519  
     7.257097        -0.1391517       7.257097        -0.1847908       7.257097        -0.2316011       7.257097        -0.2768769       7.257097        -0.3222523       7.257097        -0.3676718       7.257097        -0.4130801       7.257097        -0.4584218       7.257097        -0.5036273       7.257097        -0.5486626       7.257097        -0.5934905       7.257097        -0.6380557       7.257097        -0.6823038       7.257097        -0.7261836       7.257097        -0.7696523       7.257097        -0.8126559       7.257097        -0.8551443       7.257097        -0.8970771       7.257097        -0.9383943       7.257097        -0.9790575       7.257097         -1.019024       7.257097         -1.058243       7.257097         -1.096712       7.257097         -1.134334       7.257097         -1.171086       7.257097          -1.20692  
     7.589407        -0.1428017       7.589407        -0.1882406       7.589407        -0.2346986       7.589407        -0.2794989       7.589407        -0.3243884       7.589407        -0.3693123       7.589407        -0.4142159       7.589407        -0.4590444       7.589407        -0.5037348       7.589407        -0.5482392       7.589407        -0.5925297       7.589407         -0.636552       7.589407        -0.6802521       7.589407        -0.7235785       7.589407        -0.7664827       7.589407        -0.8089231       7.589407        -0.8508435       7.589407        -0.8921985       7.589407        -0.9329448       7.589407        -0.9730246       7.589407         -1.012404       7.589407         -1.051039       7.589407         -1.088879       7.589407         -1.125923       7.589407          -1.16209       7.589407         -1.197334  
     7.869874        -0.1504416       7.869874        -0.1941166       7.869874        -0.2384269       7.869874        -0.2811184       7.869874        -0.3238807       7.869874        -0.3666615       7.869874        -0.4094088       7.869874        -0.4520705       7.869874        -0.4945946       7.869874        -0.5369165       7.869874        -0.5790196       7.869874        -0.6208541       7.869874        -0.6623688       7.869874        -0.7035129       7.869874        -0.7442386       7.869874         -0.784501       7.869874        -0.8242625       7.869874         -0.863467       7.869874        -0.9020684       7.869874        -0.9400378       7.869874        -0.9773132       7.869874         -1.013849       7.869874         -1.049634       7.869874           -1.0846       7.869874         -1.118709       7.869874         -1.151975  
     8.096582        -0.1608487       8.096582        -0.2009642       8.096582        -0.2408618       8.096582        -0.2793815       8.096582        -0.3179449       8.096582        -0.3565049       8.096582        -0.3950144       8.096582        -0.4334266       8.096582        -0.4716948       8.096582        -0.5097689       8.096582         -0.547611       8.096582        -0.5851918       8.096582        -0.6224654       8.096582        -0.6593863       8.096582        -0.6959095       8.096582        -0.7319915       8.096582        -0.7675894       8.096582        -0.8026733       8.096582        -0.8371998       8.096582        -0.8711216       8.096582        -0.9043969       8.096582        -0.9370052       8.096582        -0.9688932       8.096582         -1.000019       8.096582         -1.030345       8.096582         -1.059873  
     8.267982        -0.1717361       8.267982        -0.2061303       8.267982        -0.2381541       8.267982        -0.2702264       8.267982        -0.3023082       8.267982        -0.3343603       8.267982        -0.3663438       8.267982        -0.3982196       8.267982        -0.4299491       8.267982        -0.4614938       8.267982        -0.4928153       8.267982        -0.5238839       8.267982        -0.5546718       8.267982        -0.5851414       8.267982        -0.6152557       8.267982         -0.644978       8.267982        -0.6742719       8.267982        -0.7031021       8.267982        -0.7314352       8.267982        -0.7592361       8.267982        -0.7864829       8.267982        -0.8131483       8.267982        -0.8391865       8.267982         -0.864568       8.267982        -0.8892602       8.267982        -0.9132451  
     8.382903         -0.181195       8.382903        -0.2047971       8.382903        -0.2284283       8.382903        -0.2520597       8.382903        -0.2756626       8.382903        -0.2992082       8.382903         -0.322668       8.382903        -0.3460134       8.382903        -0.3692161       8.382903        -0.3922481       8.382903        -0.4150813       8.382903        -0.4376883       8.382903        -0.4600416       8.382903        -0.4821256       8.382903        -0.5039205       8.382903         -0.525395       8.382903        -0.5465228       8.382903        -0.5672782       8.382903         -0.587636       8.382903        -0.6075716       8.382903        -0.6270606       8.382903        -0.6460794       8.382903         -0.664605       8.382903        -0.6826151       8.382903        -0.7000897       8.382903        -0.7170059  
     8.440561        -0.2017112       8.440561        -0.2168518       8.440561        -0.2319555       8.440561        -0.2470041       8.440561        -0.2619793       8.440561        -0.2768629       8.440561        -0.2916369       8.440561        -0.3062834       8.440561        -0.3207847       8.440561        -0.3351233       8.440561         -0.349282       8.440561        -0.3632436       8.440561        -0.3769915       8.440561         -0.390509       8.440561        -0.4037799       8.440561        -0.4167885       8.440561        -0.4295191       8.440561        -0.4419564       8.440561        -0.4541127       8.440561        -0.4659585       8.440561        -0.4774749       8.440561         -0.488648       8.440561        -0.4994644       8.440561        -0.5099108       8.440561        -0.5199744       8.440561        -0.5296434  
