            VLM1 -  -10.0°-60.00m/s                VLM1 -   -9.0°-60.00m/s                VLM1 -   -8.0°-60.00m/s                VLM1 -   -7.0°-60.00m/s                VLM1 -   -6.0°-60.00m/s                VLM1 -   -5.0°-60.00m/s                VLM1 -   -4.0°-60.00m/s                VLM1 -   -3.0°-60.00m/s                VLM1 -   -2.0°-60.00m/s                VLM1 -   -1.0°-60.00m/s                VLM1 -    0.0°-60.00m/s                VLM1 -    1.0°-60.00m/s                VLM1 -    2.0°-60.00m/s                VLM1 -    3.0°-60.00m/s                VLM1 -    4.0°-60.00m/s                VLM1 -    5.0°-60.00m/s                VLM1 -    6.0°-60.00m/s                VLM1 -    7.0°-60.00m/s                VLM1 -    8.0°-60.00m/s                VLM1 -    9.0°-60.00m/s                VLM1 -   10.0°-60.00m/s                VLM1 -   11.0°-60.00m/s                VLM1 -   12.0°-60.00m/s                VLM1 -   13.0°-60.00m/s                VLM1 -   14.0°-60.00m/s                VLM1 -   15.0°-60.00m/s    
     1.044928        -0.1570892       1.044928        -0.0708401       1.044928        0.01593115       1.044928         0.1031188       1.044928         0.1906167       1.044928         0.2783181       1.044928         0.3661163       1.044928         0.4539042       1.044928          0.541575       1.044928         0.6290218       1.044928          0.716138       1.044928         0.8028175       1.044928         0.8889548       1.044928         0.9744448       1.044928          1.059183       1.044928          1.143067       1.044928          1.225995       1.044928          1.307864       1.044928          1.388576       1.044928          1.468032       1.044928          1.546135       1.044928           1.62279       1.044928          1.697904       1.044928          1.771385       1.044928          1.843143       1.044928          1.913092  
     1.733614        -0.1667218       1.733614       -0.07836798       1.733614        0.01052415       1.733614        0.09984634       1.733614         0.1894898       1.733614         0.2793452       1.733614         0.3693032       1.733614         0.4592541       1.733614         0.5490883       1.733614         0.6386965       1.733614         0.7279694       1.733614         0.8167982       1.733614         0.9050748       1.733614         0.9926915       1.733614          1.079542       1.733614           1.16552       1.733614           1.25052       1.733614           1.33444       1.733614          1.417177       1.733614          1.498631       1.733614          1.578701       1.733614          1.657291       1.733614          1.734304       1.733614          1.809648       1.733614          1.883229       1.733614          1.954959  
     2.410457        -0.1740506       2.410457       -0.08402159       2.410457       0.006558541       2.410457        0.09757938       2.410457           0.18893       2.410457         0.2804992       2.410457         0.3721754       2.410457         0.4638468       2.410457         0.5554017       2.410457         0.6467287       2.410457         0.7377165       2.410457         0.8282542       2.410457         0.9182315       2.410457          1.007539       2.410457          1.096067       2.410457          1.183709       2.410457          1.270357       2.410457          1.355906       2.410457          1.440252       2.410457          1.523292       2.410457          1.604925       2.410457          1.685051       2.410457          1.763573       2.410457          1.840395       2.410457          1.915423       2.410457          1.988567  
     3.070834        -0.1796127       3.070834       -0.08826236       3.070834        0.00364898       3.070834         0.0960093       3.070834         0.1887061       3.070834         0.2816264       3.070834          0.374657       3.070834         0.4676845       3.070834         0.5605957       3.070834         0.6532773       3.070834         0.7456165       3.070834         0.8375006       3.070834         0.9288178       3.070834          1.019457       3.070834          1.109307       3.070834          1.198259       3.070834          1.286205       3.070834          1.373038       3.070834           1.45865       3.070834          1.542939       3.070834          1.625802       3.070834          1.707137       3.070834          1.786846       3.070834          1.864832       3.070834          1.940998       3.070834          2.015254  
     3.710235          -0.18374       3.710235       -0.09138721       3.710235       0.001533968       3.710235        0.09491033       3.710235         0.1886281       3.710235         0.2825732       3.710235          0.376631       3.710235          0.470687       3.710235         0.5646266       3.710235         0.6583353       3.710235         0.7516991       3.710235          0.844604       3.710235          0.936937       3.710235          1.028586       3.710235          1.119438       3.710235          1.209384       3.710235          1.298313       3.710235          1.386117       3.710235           1.47269       3.710235          1.557926       3.710235           1.64172       3.710235          1.723972       3.710235           1.80458       3.710235          1.883446       3.710235          1.960475       3.710235          2.035573  
     4.324291        -0.1865957       4.324291       -0.09355473       4.324291      5.972495e-05       4.324291        0.09413363       4.324291         0.1885524       4.324291         0.2832009       4.324291         0.3779639       4.324291         0.4727259       4.324291         0.5673715       4.324291         0.6617854       4.324291         0.7558525       4.324291         0.8494582       4.324291         0.9424886       4.324291           1.03483       4.324291           1.12637       4.324291          1.216998       4.324291          1.306602       4.324291          1.395074       4.324291          1.482306       4.324291          1.568191       4.324291          1.652625       4.324291          1.735506       4.324291          1.816731       4.324291          1.896203       4.324291          1.973823       4.324291          2.049499  
     4.908808        -0.1881989       4.908808       -0.09480791       4.908808     -0.0008407695       4.908808        0.09358803       4.908808         0.1883634       4.908808           0.28337       4.908808          0.378492       4.908808         0.4736134       4.908808         0.5686185       4.908808         0.6633915       4.908808         0.7578168       4.908808         0.8517795       4.908808         0.9451651       4.908808           1.03786       4.908808          1.129751       4.908808          1.220726       4.908808          1.310674       4.908808          1.399486       4.908808          1.487054       4.908808          1.573271       4.908808          1.658031       4.908808          1.741232       4.908808          1.822773       4.908808          1.902553       4.908808          1.980476       4.908808          2.056446  
     5.459792        -0.1884258       5.459792       -0.09507887       5.459792      -0.001155905       5.459792        0.09322861       5.459792         0.1879597       5.459792         0.2829219       5.459792         0.3779995       5.459792         0.4730768       5.459792         0.5680378       5.459792         0.6627669       5.459792         0.7571487       5.459792         0.8510681       5.459792         0.9444108       5.459792          1.037063       5.459792          1.128912       5.459792          1.219845       5.459792          1.309753       5.459792          1.398525       5.459792          1.486053       5.459792          1.572231       5.459792          1.656953       5.459792          1.740117       5.459792          1.821621       5.459792          1.901366       5.459792          1.979254       5.459792          2.055191  
     5.973481        -0.1869874       5.973481        -0.0941742       5.973481     -0.0007886253       5.973481         0.0930555       5.973481         0.1872439       5.973481         0.2816617       5.973481         0.3761939       5.973481         0.4707254       5.973481          0.565141       5.973481         0.6593257       5.973481         0.7531646       5.973481         0.8465436       5.973481         0.9393487       5.973481          1.031467       5.973481          1.122786       5.973481          1.213195       5.973481          1.302583       5.973481          1.390842       5.973481          1.477864       5.973481          1.563544       5.973481          1.647775       5.973481          1.730457       5.973481          1.811488       5.973481           1.89077       5.973481          1.968205       5.973481          2.043701  
     6.446364        -0.1833827       6.446364       -0.09174071       6.446364      0.0004654402       6.446364        0.09312339       6.446364         0.1861203       6.446364         0.2793427       6.446364         0.3726772       6.446364         0.4660101       6.446364         0.5592275       6.446364         0.6522159       6.446364         0.7448622       6.446364         0.8370532       6.446364         0.9286769       6.446364          1.019621       6.446364          1.109776       6.446364          1.199031       6.446364          1.287277       6.446364          1.374408       6.446364          1.460316       6.446364          1.544898       6.446364           1.62805       6.446364           1.70967       6.446364           1.78966       6.446364          1.867922       6.446364           1.94436       6.446364          2.018882  
     6.875213        -0.1768325       6.875213       -0.08721511       6.875213       0.002952113       6.875213        0.09355931       6.875213         0.1844961       6.875213         0.2756516       6.875213         0.3669149       6.875213         0.4581747       6.875213         0.5493199       6.875213         0.6402394       6.875213         0.7308224       6.875213         0.8209585       6.875213         0.9105381       6.875213         0.9994518       6.875213          1.087591       6.875213           1.17485       6.875213           1.26112       6.875213          1.346297       6.875213          1.430278       6.875213           1.51296       6.875213          1.594242       6.875213          1.674025       6.875213          1.752212       6.875213          1.828708       6.875213          1.903419       6.875213          1.976256  
     7.257097        -0.1662167       7.257097       -0.07977778       7.257097       0.007188337       7.257097        0.09457564       7.257097         0.1822777       7.257097         0.2701875       7.257097         0.3581982       7.257097         0.4462024       7.257097         0.5340929       7.257097         0.6217626       7.257097         0.7091048       7.257097         0.7960129       7.257097         0.8823812       7.257097         0.9681044       7.257097          1.053078       7.257097          1.137199       7.257097          1.220364       7.257097          1.302472       7.257097          1.383423       7.257097          1.463119       7.257097          1.541462       7.257097          1.618357       7.257097           1.69371       7.257097          1.767429       7.257097          1.839426       7.257097          1.909611  
     7.589407        -0.1500937       7.589407       -0.06837879       7.589407        0.01382929       7.589407        0.09643038       7.589407         0.1793238       7.589407         0.2624087       7.589407         0.3455837       7.589407         0.4287475       7.589407         0.5117988       7.589407         0.5946364       7.589407         0.6771595       7.589407         0.7592673       7.589407           0.84086       7.589407          0.921838       7.589407          1.002103       7.589407          1.081557       7.589407          1.160103       7.589407          1.237645       7.589407          1.314089       7.589407          1.389342       7.589407          1.463313       7.589407           1.53591       7.589407          1.607046       7.589407          1.676634       7.589407          1.744589       7.589407          1.810828  
     7.869874        -0.1269787       7.869874       -0.05199108       7.869874         0.0234411       7.869874        0.09922593       7.869874         0.1752711       7.869874         0.2514839       7.869874         0.3277715       7.869874          0.404041       7.869874         0.4801995       7.869874         0.5561541       7.869874         0.6318123       7.869874         0.7070819       7.869874         0.7818713       7.869874         0.8560894       7.869874         0.9296456       7.869874           1.00245       7.869874          1.074415       7.869874          1.145452       7.869874          1.215474       7.869874          1.284397       7.869874          1.352136       7.869874           1.41861       7.869874          1.483735       7.869874          1.547435       7.869874           1.60963       7.869874          1.670246  
     8.096582       -0.09607248       8.096582       -0.03024469       8.096582        0.03596148       8.096582         0.1024653       8.096582         0.1691859       8.096582         0.2360418       8.096582         0.3029517       8.096582          0.369834       8.096582         0.4366073       8.096582         0.5031901       8.096582         0.5695014       8.096582         0.6354604       8.096582         0.7009866       8.096582         0.7660004       8.096582         0.8304224       8.096582         0.8941742       8.096582         0.9571781       8.096582          1.019357       8.096582          1.080636       8.096582           1.14094       8.096582          1.200195       8.096582           1.25833       8.096582          1.315273       8.096582          1.370955       8.096582          1.425308       8.096582          1.478266  
     8.267982       -0.05809201       8.267982      -0.004060233       8.267982        0.05026505       8.267982         0.1048177       8.267982         0.1595311       8.267982         0.2143388       8.267982         0.2691739       8.267982         0.3239696       8.267982         0.3786592       8.267982         0.4331759       8.267982         0.4874535       8.267982         0.5414258       8.267982          0.595027       8.267982         0.6481918       8.267982         0.7008554       8.267982         0.7529538       8.267982         0.8044233       8.267982         0.8552013       8.267982          0.905226       8.267982         0.9544363       8.267982          1.002772       8.267982          1.050175       8.267982          1.096587       8.267982          1.141952       8.267982          1.186214       8.267982          1.229319  
     8.382903        -0.0143589       8.382903         0.0256495       8.382903        0.06584995       8.382903         0.1061935       8.382903         0.1466309       8.382903          0.187113       8.382903         0.2275904       8.382903         0.2680139       8.382903         0.3083341       8.382903          0.348502       8.382903         0.3884686       8.382903         0.4281852       8.382903         0.4676034       8.382903         0.5066752       8.382903          0.545353       8.382903         0.5835897       8.382903         0.6213386       8.382903         0.6585539       8.382903         0.6951901       8.382903         0.7312027       8.382903         0.7665477       8.382903          0.801182       8.382903         0.8350636       8.382903         0.8681511       8.382903         0.9004041       8.382903         0.9317835  
     8.440561        0.03976789       8.440561        0.06622549       8.440561        0.09277322       8.440561         0.1193787       8.440561         0.1460096       8.440561         0.1726334       8.440561         0.1992176       8.440561           0.22573       8.440561         0.2521381       8.440561         0.2784098       8.440561         0.3045132       8.440561         0.3304164       8.440561         0.3560878       8.440561         0.3814961       8.440561         0.4066105       8.440561         0.4314003       8.440561         0.4558353       8.440561         0.4798858       8.440561         0.5035223       8.440561         0.5267163       8.440561         0.5494393       8.440561         0.5716637       8.440561         0.5933624       8.440561          0.614509       8.440561         0.6350778       8.440561         0.6550436  
